alpha_deg,cl
-5.0,0.2087424880196898
-4.0,0.23936812120956588
-3.0,0.2699208405509119
-2.0,0.3003913393894468
-1.0,0.3307703361160453
0.0,0.36104857699401754
1.0,0.39121683897788245
2.0,0.42126593252279043
3.0,0.4511867043837622
4.0,0.4809700404038297
5.0,0.5106068682903309
6.0,0.5400881603783886
7.0,0.5694049363808494
8.0,0.5985482661237344
9.0,0.6275092722664904
10.0,0.6562791330060966
11.0,0.6848490847642692
12.0,0.7132104248569441
13.0,0.7413545141451817
14.0,0.7692727796667459
15.0,0.7969567172475112
